label,text
0,jurong point crazy available bugis n great world la e buffet Cine amore wat
0,ok lar Joking wif u oni
1,free entry 2 wkly comp win FA Cup final tkts 21st May 2005 text FA 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
0,u dun early hor u c
0,nah I think usf live
1,FreeMsg hey darle 3 week word I d like fun tb ok XxX std chgs send 150 rcv
0,brother like speak treat like aids patent
0,request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friend Callertune
1,WINNER value network customer select receivea 900 prize reward claim 09061701461 claim code KL341 Valid 12 hour
1,mobile 11 month u r entitle update late colour mobile camera free Call Mobile Update Co free 08002986030
0,I m home soon want talk stuff anymore tonight k I ve cry today
1,chance win cash 100 20000 pound txt CSH11 send 87575 Cost 150pday 6days 16 tsandc apply Reply HL 4 info
1,URGENT win 1 week free membership 100000 Prize Jackpot Txt word claim 81010 TC wwwdbuknet LCCLTD POBOX 4403ldnw1a7rw18
0,I ve search right word thank breather I promise help grant fulfil promise wonderful blessing time
0,I date SUNDAY WILL
1,XXXMobileMovieClub use credit click WAP link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watch
0,eh u remember 2 spell yes v naughty v wet
0,fine s way u feel s way gota b
1,England v Macedonia   miss goalsteam news Txt ur national team 87077 eg ENGLAND 87077 trywales SCOTLAND 4txt120 poboxox36504w45wq 16
0,seriously spell
0,I m try 2 month ha ha joke
0,  pay lar da stock comin
0,aft finish lunch str lor Ard 3 smth lor U finish ur lunch
0,ffffffffff alright way I meet soon
0,force eat slice I m hungry tho suck Mark getting worry know I m sick I turn pizza Lol
0,lol convincing
0,catch bus   fry egg   tea eat mom leave dinner   feel love
0,I m amp pack car Ill let know s room
0,Ahhh Work I vaguely remember feel like lol
0,wait s clear sure sarcastic s x want live
0,yeah 2 v apologetic n fall actin like spoil child catch till 2 badly cheer
0,K tell
0,fear faint housework Quick cuppa
1,thank subscription Ringtone UK mobile charge 5month confirm reply yes reply charge
0,yup ok home look timing msg   Xuhui learn 2nd lesson 8
0,oops Ill let know roommate
0,I letter b car
0,lor u decide
0,hello s saturday I texte d decide tomo m try invite
0,pls ahead watts I want sure great weekend Abiola
0,I forget tell   I want   I need I crave     I love sweet arabian stee   Mmmmmm   Yummy
1,07732584351   Rodger Burns   MSG   try reply sms free nokia mobile   free camcorder 08000930705 delivery tomorrow
0,
0,great I hope like man endowed I   ltgt   inch
0,callsmessagesmisse
0,hep b immunisation nigeria
0,fair
0,yeah hopefully tyler I maybe ask bit
0,u know stubborn I I want hospital I tell Mark I m weak sucker hospital weak sucker
0,think time class
0,gram usually run like   ltgt   half eighth smart second gram   ltgt
0,k fyi x ride early tomorrow morning s crash place tonight
0,wow I realize embarassed accomodation I think like good happy cave I m sorry I I m sorry offer I m sorry room embarasse
1,SMS ac Sptv New Jersey Devils Detroit Red Wings play Ice Hockey Correct Incorrect end Reply END SPTV
0,know Mallika Sherawat yesterday find    lturlgt
1,congrat 1 year special cinema pass 2 09061209465 C Suprman V Matrix3 StarWars3 etc 4 free bx420ip45we 150pm miss
0,Sorry Ill later meeting
0,tell reach
0,Yesgauti sehwag odi series
0,pick 1 burger way home I Pain kill
0,ha ha ha good joke girl situation seeker
0,check iq
0,sorry roommate forever ok I come
0,ok lar double check wif da hair dresser wun cut v short cut look nice
1,value customer I pleased advise follow recent review mob award 1500 Bonus Prize 09066364589
0,today song dedicated day song u dedicate send ur valuable frnd rply
1,Urgent ur award complimentary trip EuroDisinc Trav acoentry41 1000 claim txt DIS 87121 186150morefrmmob ShrAcomOrSglSuplt10 LS1 3aj
1,hear new Divorce Barbie come Kens stuff
0,I plane month end
0,Wah lucky man save money Hee
0,finished class
0,HI BABE IM HOME WANNA xx
0,kkwhere youhow perform
0,u
0,I wait machan free
0,s cool gentleman treat dignity respect
0,I like people shy pa
0,operate   ltgt  
0,look job Tas earn
0,sorry Ill later
0,k ah
0,ok way home hi hi
0,place man
0,yup stop
0,I later network urgnt sm
0,real u yo I need 2 ticket jacket I m I multis
0,yes I start send request pain come I m bed double coin factory I cash nitro
0,I m tonight babe
0,Ela kanoil download come wen ur free
0,yeah stand close tho ll catch
0,sorry pain ok meet night I spend late afternoon casualty mean y stuff42moro include time sheet sorry
0,smile Pleasure Smile Pain Smile trouble pour like Rain Smile sum1 hurt U Smile becoz love u smile
1,customer service representative 0800 169 6031 10am9pm WON guarantee 1000 cash 5000 prize
0,plan buy later I check lido 530 e afternoon U finish work
1,free ringtone wait collect simply text password MIX 85069 verify usher Britney FML
0,watch telugu moviewat abt u
0,finish load loan pay
0,hi wk ok   hol yes bit run Forgot hairdresser appointment need home n shower cause prob uham
0,text anymore I
0,okay ur price long legal Wen I pick Y u ave x ams xx
0,I m look car buy 4the drive test
0,request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friend Callertune
0,wow right I mean I guess boston man change search location nyc change cuz signin page boston
0,Umma life vava umma love lot dear
0,thank lot wish birthday thank birthday truly memorable
0,Aight Ill hit I cash
0,ip address test consider computer minecraft server
0,I know Grumpy old people mom like lie I play joke
0,worry I guess s busy
0,plural noun research
0,dinnermsg
0,I m ok wif cos like 2 try new thing scare u dun like mah cos u loud
1,GENT try contact weekend draw win 1000 prize guarantee Call 09064012160 Claim Code K52 Valid 12hrs 150ppm
0,wa ur openin sentence formal m fine juz tt m eatin n puttin weighthaha anythin special happen
0,I enter cabin PA   Happy Bday Boss   I feel special askd 4 lunch lunch invite apartment
1,winner u specially select 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
0,Goodo yes speak friday   eggpotato ratio tortilla need
0,hmmmy uncle inform s pay school directly pls buy food
1,private 2004 Account Statement 07742676969 786 unredeemed Bonus Points claim 08719180248 Identifier Code 45239 expire
1,URGENT Mobile No award 2000 Bonus Caller Prize 5903 final try contact u Call Landline 09064019788 BOX42WR29C 150PPM
0,new address applespairsall malarky
1,today Voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate app
0,I sao mu today 12
0,  predict wat time ll finish buy
0,good stuff
0,knowyetunde send money I send text bother send involve I impose place apologise
0,room
0,HEY GIRL r u hope u r I DEL R BAK long TIME c I sum TIME LUCYxx
0,kkhow cost
0,I m home
0,Dear Tmorrowpls accomodate
0,answer question
1,Sunshine Quiz Wkly Q win Sony DVD player u know country Algarve Txt ansr 82277 150 sptyrone
1,want 2 lay tonight want real dog location send direct 2 ur mob join uks large Dogging Network bt txte GRAVEL 69888 Nt ec2a 31pmsg150p
0,I haf msn yijuehotmailcom
0,meet
0,I check room befor activity
1,ll rcv msgs chat svc free Hardcore service text GO 69988 u u Age verify yr network   try
0,Got c I lazy type I forget   lect I pouch like v nice
0,k text way
0,Sir Waiting mail
0,swt think Nver tired little thing 4 lovable person cozsomtime little thing occupy d big Hearts Gud ni8
0,I know pls open
0,yes ya dot
0,s staff class
1,FreeMsg reply text I m Randy sexy female live local Luv hear u Netcollex Ltd 08700621170150p msg reply stop end
0,ummmawill check inour life begin qatar pls pray hard
0,Ki delete contact
0,sindu job birla soft
0,wine flow m nevere
0,yup thk cine cos need 2 2 plaza mah
0,ok ur typical reply
0,request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friend Callertune
0,dirt floor window shirt open mouth come flow I dream world half chore time joy lot tv ill guess like thing exist like rain hail mist time
0,aaooooright work
0,I m leave house
0,hello love interview today happy good boy think meare miss
1,customer service annoncement New Years delivery wait 07046744435 arrange delivery
1,winner u specially select 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
0,safe I need I miss I envy real life
0,new car house parentsi new job hand
0,I m love I m excited day spend happy
1,PLS stop bootydelious 32f invite friend Reply YES434 NO434 wwwsmsacubootydelious stop send stop FRND 62468
1,BangBabes ur order way U receive Service Msg 2 download ur content u GoTo wap bangb tv UR mobile internetservice menu
0,I place ur point e culture module
1,URGENT try contact weekend draw win 900 prize guarantee Call 09061701939 Claim code S89 Valid 12hrs
0,hi frnd good way avoid missunderstde wit beloved
0,great escape I fancy bridge need lager tomo
0,yes completely formclark utter waste
0,Sir I need AXIS BANK account bank address
0,Hmmm Thk sure time hop ard Ya 4 free abt Muz u discuss liao
0,time come later
0,bloody hell believe forget surname Mr   Ill u clue spanish begin m
0,m finish bath goodfine night
0,let know ve money carlos
0,u mall
0,turn friend stay til   ltgt   feel free ahead smoke   ltgt   worth
0,text reply let know log
0,hi speak maneesha V We d like know satisfied experience Reply Toll free yes
0,lift hope offer money I need especially end month approach hurt study gr8 weekend
0,lol u trust
0,ok I gentleman treat dignity respect
0,guy close
0,greatbye
0,hello handsome   find job   lazy   Working net mummy   s boytoy   miss
0,haha awesome minute
1,customer service representative FREEPHONE 0808 145 4742 9am11pm WON guarantee 1000 cash 5000 prize
0,Xmas radio time
0,I jus reach home I bathe sis net tell u finish k
1,unique find 30th August wwwareyouuniquecouk
0,I m sorry I ve join league people touch mean great deal friend time great personal cost great week
0,hi finally complete course
0,stop I suggest stay able stool
0,hope ve settle new school year wishin gr8 day
0,Gud mrng dear hav nice day
0,u person story
0,hamster dead hey tmr meet 1 pm orchard mrt
0,hi Kate evening I hope tomorrow bit bloody babyjontet txt u   xxx
0,find ENC   ltgt  
0,I send   ltgt   buck
0,hello darlin ve finish college txt u finish u love Kate xxx
0,account refill successfully INR   ltdecimalgt   KeralaCircle prepay account balance r   ltdecimalgt   Transaction ID KR ltgt
0,goodmorning sleep ga
0,u alter 11 ok
0,  like dat dun buy ericsson oso oredi lar
0,I enter cabin PA   Happy Bday Boss   I feel special askd 4 lunch lunch invite apartment
0,aight yo dat straight dogg
0,connection today   ltDECIMALgt   refund bill
0,  shoot big load ready
0,s bruv hope great break rewarding semester
0,home chat
0,Kkgoodstudy
0,yup   noe leh
0,sound great home
0,finally match head draw prediction
0,tired I sleep past night
0,easy ahsen select mean good
0,I exam march 3
0,yeah I think use gt atm register sure s help let know sure ready
0,ok prob ur time
0,os ubandu run instal hard diskyou use os copy important file system repair shop
0,sorry Ill later
0,U leh course happen lar v romantic jus bit lor I thk e nite scenery nice leh
1,500 New Mobiles 2004 txt NOKIA 89545   collect todayfrom 1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,appreciate need talk
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt HORO follow ur star sign e g HORO ARIES
0,hey company elama po mudyadhu
0,life strict teacher Bcoz teacher teach lesson amp conduct exam Life conduct Exam amp teach Lessons Happy morning  
0,dear good morning
0,gandhipuram walk cross cut road right ltgt street road turn right
0,dear rubber place
0,sorry battery die yeah I m
0,yeshere tv available work place
1,text   meet sexy today u find date flirt U Join 4 10p reply NAME   AGE eg Sam 25 18 msg recdthirtyeight penny
0,I print oh   ltgt   come upstairs
0,ill little close like bus stop street
0,youwhen wil reach
0,New Theory Argument win d situation lose person argue ur friend     kick amp I m correct
1,u 447801259231 secret admirer look 2 contact Ufind rreveal think UR specialcall 09058094597
0,Tomarrow final hearing laptop case
0,pleassssssseeeeee TEL ME v AVENT SPORTSx
0,okay shine mean sign sound
0,tell u dat m baig face watch like e watch u cos fr u Thanx 4 dat uve today m touch
0,u remember old commercial
0,late I website I slipper
0,I ask ok
0,Kallis bat 2nd innings
0,work oh ok goodnight Ill fix ready time wake dearly miss good night sleep
1,congratulation ur award 500 cd voucher 125gift guarantee   Free entry 2 100 wkly draw txt music 87066 TnCs wwwldewcom1win150ppmx3age16
0,Ranjith cal drpd Deeraj deepak 5min hold
0,Wen ur lovable bcum angry wid u dnt seriously Coz angry d childish n true way deep affection care n luv kettoda manda nice day da
0,doinghow
0,Ups 3days shipping company 2wks way usp week lag bribe nipost stuff
0,I m lemme know ready
0,necessarily expect I m headin
0,mmm yummy babe   nice jolt suzy
0,lover   I need
1,try contact reply offer Video Handset 750 anytime network min unlimited TEXT Camcorder Reply 08000930705 NOW
0,I m park mini come today think
0,yup
0,m shop cos sis Dun disturb u liao
0,MY LUTON 0125698789 ring I ur h
1,hey I horny want chat naked text hot 69698 text charge 150pm unsubscribe text stop 69698
0,dint come
0,Same Wana plan trip sometme
0,sure try hold
1,ur ringtone service change 25 free credit club4mobilescom choose content stop txt CLUB stop 87070 150pwk Club4 po Box1146 MK45 2wt
0,evo I download flash Jealous
1,Ringtone Club UK single chart mobile week choose quality ringtone message free charge
0,come mu sort narcotic situation
0,night end day morning come special way smile like sunny ray leave worry blue blue bay
1,HMV BONUS SPECIAL 500 pound genuine HMV voucher win answer 4 easy question play send HMV 86688 More infowww100percentrealcom
0,Usf I guess 1 car
0,objection bf come
0,thanx
0,tell rob mack gf theater
0,Awesome Ill bit
0,send type food like
0,hand Celebrations swing
0,tool
0,Wen u miss
0,ok I ask money far
0,okie
0,yeah I think usual guy pass night ahold anybody let know Ill throw
0,k I come tonight class let early
0,ok
0,hi baby m cruisin girl friend r u 2 hour home s alright fone fone love jenny xxx
0,life mean lot I love life I love people life world friend I World Ge
0,dearshall mail tonitebusy streetshall update tonitething look okvarunnathu edukkukayee raksha ollubut good real sense
0,hey tell gautham ah
0,Haf u find I feel stupid da v cam work
0,oops 4 bit
0,buzy
0,I accidentally delete message Resend
1,tmobile customer claim free CAMERA phone upgrade   pay   sim card loyalty Call 0845 021 3680offer end 28thfebtcs apply
0,situation GURL appropriate
0,hurt tease cry end life die plz rise grave STUPID I mis u nice DAY BSLVYL
0,I pick phone right pls send message
0,need coffee run tomocant believe time week
0,Awesome I remember time somebody high time diesel v
0,shit shocking scary imagine second Def night u think crash night save taxi
0,oh way food fridge want meal tonight
0,womdarfull actor
1,SMS ac Blind Date 4u Rodds1 21 m Aberdeen United Kingdom check httpimg sm acwicmb3cktz8r74 blind date send HIDE
0,yup remb I think book
0,Jos ask u wana meet
0,lol yes friendship hang thread cause u buy stuff
1,themob check new selection content Games Tones Gossip babe sport mobile fit funky text WAP 82468
0,garage key bookshelf
0,today ACCEPT dayu accept Brother Sister Lover Dear1 best1 clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd rply mean enemy
1,think ur smart   Win 200 week weekly quiz text play 85222 nowtcs WinnersClub po BOX 84 M26 3uz 16 GBP150week
0,hell friend money s definitely buy end week
0,hi way I u 2day normal waythis real UR uniquei hope I know u 4 rest mylife Hope u find wot lose
0,day great day
0,kkadvance happy pongal
0,Hmmm Guess 4 kb n power yoga Haha dunno tahan power yoga anot Thk lo oso forgot liao
0,dude friend m afraid
1,December mobile 11mth entitle update late colour camera mobile free Call Mobile Update Co free 08002986906
0,coffee cake guess
0,merry Christmas babe love ya kiss
0,hey watch x man lunch Haha
0,cud u tell ppl m gona b bit l8 cos 2 bus hav gon past cos   m waitin 4 1 pete x
0,great Guild meet Bristol road   touch weekend plan flight good week
0,problem
0,callsmessagesmisse
0,hi dahow today class
0,I d s good sign know track record read woman
0,cool text park
0,I m read text send mean joke read light
0,kkapo kgood movie
0,maybe book tomo return immediately  
1,Germany 1 penny minute fix line access number 0844 861 85 85 prepayment direct access
0,chance evaporate soon violate privacy steal phone number employer paperwork cool contact I report supervisor
1,valentine Day Special Win 1000 quiz partner trip lifetime Send GO 83600 150pmsg rcvd CustCare08718720201
0,tadaaaaa I home babe
0,cool come wine dine
0,sleepingand surfing
0,sorry Ill later
0,u right hand phone
0,ok s great thanx lot
0,I post come 1000 text happy read wiv hello caroline end favourite Bless
0,u hide stranger
0,interested like
0,sister clear round birla soft yesterday
0,gudnitetcpractice
0,Dis yijue I ju ur mail case huiming send u num Dis num
0,small prestige problem
1,Fancy shag I dointereste sextextukcom txt xxuk SUZY 69876 Txts cost 150 msg TnCs website x
0,check miss Jeremiah great month
0,Nah help I ve iphone
0,car hour half I m apeshit
0,today sorry day angry misbehave hurt plz plz SLAP URSELF Bcoz ur fault I m basically good
0,yo guy figure need alcohol Jay I try figure safely spend weed
0,ltgt ISH minute 5 minute ago WTF
0,thank callingforgot Happy Onam sirjii fine remember meet insurance personmeet Qatar Insha AllahRakhesh ex Tata AIG join TISSCOTayseer
1,congratulation ur award 500 cd voucher 125gift guarantee   Free entry 2 100 wkly draw txt music 87066 TnCs wwwldewcom1win150ppmx3age16
1,ur cashbalance currently 500 pound   maximize ur cashin send cash 86688 150pmsg CC 08708800282 hgsuite3422land roww1j6hl
0,I m actor work work evening sleep late m unemployed moment sleep late unemployed day saturday
0,hello st andrewsboy long way cold I post
0,ha ha cool cool chikku chikkuDB
0,oh ok prob
0,check audrey status right
0,busy try finish new year I look forward finally meet
0,good afternoon sunshine dawn day   refresh happy alive breathe air smile   I think love  
0,know Z care worry
1,UpdateNow   Xmas Offer Latest Motorola SonyEricsson   Nokia   free Bluetooth Double Mins   1000 Txt Orange Call mobileupd8 08000839402 call2optoutF4Q
1,discount code rp176781 stop message reply stop wwwregalportfoliocouk Customer Services 08717205546
0,Wat uniform
0,cool text ready
0,hello boytoy   Geeee I miss I wake I wish bed cuddle I love
0,I spoil bed
0,I m bath msg   ltgt   min
0,I talk people sure pay agree price pls tell want buy willing pay
1,thank Ringtone Order Reference T91 charge GBP 4 week unsubscribe anytime customer service 09057039994
0,happen
0,mei didt recognise face
0,s lot thing happen Lindsay new year sigh bar Ptbo blue heron
0,payasam rinu bring
0,I teach Ranjith sir sm like Becaus s verify project Prabu tell today pa mistake
0,I guess s worried know s way body repair m sure worry slow test guide ovulation relax ve reason worry ill followin
0,yeah sure couple minute track wallet
0,hey leave big deal care
0,hey late ah meet 945
1,double min txt 4 6month free Bluetooth Orange Available Sony Nokia Motorola phone MobileUpd8 08000839402 call2optoutn9dx
0,Mr owl 3 lick
0,customer place
0,mm time like fun
1,4mth half price Orange line rental   late camera phone 4 free phone 11mth   Call MobilesDirect free 08000938767 update or2stoptxt
